exam_id	name	exam_year	uci
EXM_KM_5COa_1059_000113	양신린(楊信麟)	1059	G002+AKS-KHF_13C591C2E0B9B0U9999X0
EXM_KM_5COa_1061_000114	나계함(羅繼含)	1061	G002+AKS-KHF_13B098ACC4D568U9999X0
EXM_KM_5COa_1063_000115	홍기(洪器)	1063	G002+AKS-KHF_12D64DAE30FFFFU9999X0
EXM_KM_5COa_1063_000116	최사추(崔思諏)	1063	G002+AKS-KHF_13CD5CC0ACCD94B1034X0
EXM_KM_5COa_1065_000117	이원장(李元長)	1065	G002+AKS-KHF_13C774C6D0C7A5U9999X0
EXM_KM_5COa_1066_000118	고중신(高仲臣)	1066	G002+AKS-KHF_13ACE0C911C2E0U9999X0
EXM_KM_5COa_1068_000119	최인(崔駰)	1068	G002+AKS-KHF_12CD5CC778FFFFU9999X2
EXM_KM_5COa_1070_000120	최익신(崔翼臣)	1070	G002+AKS-KHF_13CD5CC775C2E0U9999X0
EXM_KM_5COa_1070_000121	임의(任懿)	1070	G002+AKS-KHF_12C784C758FFFFB1041X0
EXM_KM_5COa_1072_000122	박유각(朴惟恪)	1072	G002+AKS-KHF_13BC15C720AC01U9999X0
EXM_KM_5COa_1072_000123	정목(鄭穆)	1072	G002+AKS-KHF_12C815BAA9FFFFB1040X0
EXM_KM_5COa_1074_000124	이하(李嘏)	1074	G002+AKS-KHF_12C774D558FFFFU9999X2
EXM_KM_5COa_1074_000125	윤관(尹瓘)	1074	G002+AKS-KHF_12C724AD00FFFFD1111X0
EXM_KM_5COa_1076_000126	이욱(李昱)	1076	G002+AKS-KHF_12C774C6B1FFFFU9999X4
EXM_KM_5COa_1078_000127	우원령(禹元齡)	1078	G002+AKS-KHF_13C6B0C6D0B839U9999X0
EXM_KM_5COa_1078_000128	조중장(趙仲璋)	1078	G002+AKS-KHF_13C870C911C7A5D1119X0
EXM_KM_5COa_1080_000129	김상제(金尙磾)	1080	G002+AKS-KHF_13AE40C0C1C81CU9999X0
EXM_KM_5COa_1080_000130	노준(魯隼)	1080	G002+AKS-KHF_12B178C900FFFFU9999X0
EXM_KM_5COb_1083_000131	음정(陰鼎)	1083	G002+AKS-KHF_12C74CC815FFFFU9999X0
EXM_KM_5COb_1083_000132	이자현(李資玄)	1083	G002+AKS-KHF_13C774C790D604B1061X0
EXM_KM_5COb_1083_000133	곽여(郭輿)	1083	G002+AKS-KHF_12ACFDC5ECFFFFB1058X0
EXM_KM_5COb_9999_000134	이자인(李資仁)	_	G002+AKS-KHF_13C774C790C778D1091X0
EXM_KM_5COb_9999_000135	이예(李預)	_	G002+AKS-KHF_12C774C608FFFFU9999X0
EXM_KM_5COb_9999_000136	손관(孫冠)	_	G002+AKS-KHF_12C190AD00FFFFB1024X1
EXM_KM_5COb_9999_000137	신수(愼修)	_	G002+AKS-KHF_12C2E0C218FFFFD1101X0
EXM_KM_5COb_9999_000138	고영신(高令臣)	_	G002+AKS-KHF_13ACE0C601C2E0B1045X0
EXM_KM_5COb_9999_000139	문관(文冠)	_	G002+AKS-KHF_12BB38AD00FFFFB1042X0
EXM_KM_5COb_9999_000140	문정(文正)	_	G002+AKS-KHF_12BB38C815FFFFD1093X0
EXM_KM_5COb_9999_000141	정문(鄭文)	_	G002+AKS-KHF_12C815BB38FFFFD1106X0
EXM_KM_5COb_9999_000142	위계정(魏繼廷)	_	G002+AKS-KHF_13C704ACC4C815D1107X0
EXM_KM_5COb_9999_000143	이오(李䫨)	_	G002+AKS-KHF_12C774C624FFFFB1042X1
EXM_KM_5COb_9999_000144	유신(柳伸)	_	G002+AKS-KHF_12C720C2E0FFFFD1104X0
EXM_KM_5COb_9999_000145	김한충(金漢忠)	_	G002+AKS-KHF_13AE40D55CCDA9B1043X0
EXM_KM_5COb_9999_000146	김상기(金上琦)	_	G002+AKS-KHF_13AE40C0C1AE30B1031X0
EXM_KM_5COb_9999_000147	김황원(金黃元)	_	G002+AKS-KHF_13AE40D669C6D0B1045X0
EXM_KM_5COb_9999_000148	최홍사(崔弘嗣)	_	G002+AKS-KHF_13CD5CD64DC0ACB1043X0
EXM_KM_5COb_9999_000149	한규(韓圭)	_	G002+AKS-KHF_12D55CADDCFFFFU9999X1
EXM_KM_5COb_9999_000150	이숙(李璹)	_	G002+AKS-KHF_12C774C219FFFFU9999X0
EXM_KM_5COb_9999_000151	이위(李瑋)	_	G002+AKS-KHF_12C774C704FFFFB1049X0
EXM_KM_5COb_9999_000152	노단(盧旦)	_	G002+AKS-KHF_12B178B2E8FFFFD1091X0
EXM_KM_5COb_9999_000153	이자위(李子威)	_	G002+AKS-KHF_13C774C790C704U9999X0
EXM_KM_5COb_9999_000154	김근(金覲)	_	G002+AKS-KHF_12AE40ADFCFFFFU9999X7
EXM_KM_5COb_9999_000155	오함서(伍咸庶)	_	G002+AKS-KHF_13C624D568C11CU9999X0
EXM_KM_5COb_9999_000156	유석(柳奭)	_	G002+AKS-KHF_12C720C11DFFFFU9999X0
EXM_KM_5COb_9999_000157	임성개(林成槩)	_	G002+AKS-KHF_13C784C131AC1CU9999X0
EXM_KM_5COb_9999_000158	황영(黃瑩)	_	G002+AKS-KHF_12D669C601FFFFU9999X0
EXM_KM_5COb_9999_000159	유석(庾晳)	_	G002+AKS-KHF_12C720C11DFFFFU9999X1
EXM_KM_5COb_9999_000160	이굉(李宏)	_	G002+AKS-KHF_12C774AD49FFFFU9999X1
EXM_KM_5COb_1084_000161	고민한(高旻漢)	1084	G002+AKS-KHF_13ACE0BBFCD55CU9999X0
EXM_KM_5COb_1084_000162	이공저(李公著)	1084	G002+AKS-KHF_13C774ACF5C800B1053X0
EXM_KM_5COb_1084_000163	최약(崔瀹)	1084	G002+AKS-KHF_12CD5CC57DFFFFU9999X0
EXM_KM_5COb_1085_000164	김준(金晙)	1085	G002+AKS-KHF_12AE40C900FFFFB1057X0
EXM_KM_5COb_1085_000165	김인존(金仁存)	1085	G002+AKS-KHF_13AE40C778C874D1127X0
EXM_KM_5COb_1086_000166	박경백(朴景伯)	1086	G002+AKS-KHF_13BC15ACBDBC31U9999X0
EXM_KM_5COb_1086_000167	이공수(李公壽)	1086	G002+AKS-KHF_13C774ACF5C218D1137X0
EXM_KM_5COb_1088_000168	김부필(金富弼)	1088	G002+AKS-KHF_13AE40BD80D544U9999X1
EXM_KM_5COb_1088_000169	윤포(尹誧)	1088	G002+AKS-KHF_12C724D3ECFFFFB1063X0
EXM_KM_5COb_1090_000170	이경필(李景泌)	1090	G002+AKS-KHF_13C774ACBDD544U9999X0
EXM_KM_5COb_1090_000171	최유(崔濡)	1090	G002+AKS-KHF_12CD5CC720FFFFB1072X0
EXM_KM_5COb_1092_000172	김성(金成)	1092	G002+AKS-KHF_12AE40C131FFFFU9999X3
EXM_KM_5COb_1094_000173	정극공(鄭克恭)	1094	G002+AKS-KHF_13C815ADF9ACF5B1067X0
EXM_KM_5COb_9999_000174	박경인(朴景仁)	_	G002+AKS-KHF_13BC15ACBDC778B1057X0
EXM_KM_5COb_9999_000175	오연총(吳延寵)	_	G002+AKS-KHF_13C624C5F0CD1DB1055X0
EXM_KM_5COb_9999_000176	김부일(金富佾)	_	G002+AKS-KHF_13AE40BD80C77CB1071X0
EXM_KM_5COb_9999_000177	임유문(林有文)	_	G002+AKS-KHF_13C784C720BB38B1056X0
EXM_KM_5COb_9999_000178	허경(許慶)	_	G002+AKS-KHF_12D5C8ACBDFFFFD1115X0
EXM_KM_5COb_9999_000179	김약온(金若溫)	_	G002+AKS-KHF_13AE40C57DC628B1059X1
EXM_KM_5COb_9999_000180	최자성(崔滋盛)	_	G002+AKS-KHF_13CD5CC790C131B1065X0
EXM_KM_5COb_9999_000181	김진(金縝)	_	G002+AKS-KHF_12AE40C9C4FFFFD1126X0
EXM_KM_5COb_9999_000182	이궤(李軌)	_	G002+AKS-KHF_12C774ADA4FFFFD1122X0
EXM_KM_5COb_9999_000183	노조(盧朝)	_	G002+AKS-KHF_12B178C870FFFFU9999X0
EXM_KM_5COb_9999_000184	김상우(金商祐)	_	G002+AKS-KHF_13AE40C0C1C6B0U9999X0
EXM_KM_5COb_9999_000185	임언(林彦)	_	G002+AKS-KHF_12C784C5B8FFFFU9999X0
EXM_KM_5COb_9999_000186	김고(金沽)	_	G002+AKS-KHF_12AE40ACE0FFFFD1123X0
EXM_KM_5COb_1095_000187	유진(兪進)	1095	G002+AKS-KHF_12C720C9C4FFFFU9999X8
EXM_KM_5COb_1096_000188	김보신(金輔臣)	1096	G002+AKS-KHF_13AE40BCF4C2E0U9999X0
EXM_KM_5COb_1096_000189	김부식(金富軾)	1096	G002+AKS-KHF_13AE40BD80C2DDB1075X0
EXM_KM_5COb_1097_000190	임원통(林元通)	1097	G002+AKS-KHF_13C784C6D0D1B5U9999X0
EXM_KM_5COb_1097_000191	김부철(金富轍)	1097	G002+AKS-KHF_13AE40BD80CCA0B1079X0
EXM_KM_5COb_1098_000192	이덕윤(李德允)	1098	G002+AKS-KHF_13C774B355C724U9999X0
EXM_KM_5COb_1100_000193	한숙단(韓淑旦)	1100	G002+AKS-KHF_13D55CC219B2E8U9999X0
EXM_KM_5COb_1100_000194	장수(張脩)	1100	G002+AKS-KHF_12C7A5C218FFFFU9999X0
EXM_KM_5COb_1102_000198	장침(章忱)	1102	G002+AKS-KHF_12C7A5CE68FFFFU9999X0
EXM_KM_5COb_1102_000195	강척(康滌)	1102	G002+AKS-KHF_12AC15CC99FFFFU9999X0
EXM_KM_5COb_1102_000196	정항(鄭沆)	1102	G002+AKS-KHF_12C815D56DFFFFB1080X0
EXM_KM_5COb_1102_000197	최재(崔梓)	1102	G002+AKS-KHF_12CD5CC7ACFFFFB1079X0
EXM_KM_5COb_1104_000199	송위(宋瑋)	1104	G002+AKS-KHF_12C1A1C704FFFFU9999X0
EXM_KM_5COb_1104_000200	한유충(韓惟忠)	1104	G002+AKS-KHF_13D55CC720CDA9D1146X0
EXM_KM_5COb_1104_000201	안직숭(安稷崇)	1104	G002+AKS-KHF_13C548C9C1C22DB1066X0
EXM_KM_5COb_9999_000202	이영(李永)	_	G002+AKS-KHF_12C774C601FFFFD1123X0
EXM_KM_5COb_9999_000203	한안인(韓安仁)	_	G002+AKS-KHF_13D55CC548C778D1122X0
EXM_KM_5COb_9999_000204	한충(韓冲)	_	G002+AKS-KHF_12D55CCDA9FFFFD1129X0
EXM_KM_5COb_9999_000205	최기우(崔奇遇)	_	G002+AKS-KHF_13CD5CAE30C6B0U9999X0
EXM_KM_5COb_9999_000206	홍관(洪灌)	_	G002+AKS-KHF_12D64DAD00FFFFD1126X0
EXM_KM_5COb_9999_000207	문공인(文公仁)	_	G002+AKS-KHF_13BB38ACF5C778D1137X0
EXM_KM_5COb_9999_000208	박승중(朴昇中)	_	G002+AKS-KHF_13BC15C2B9C911U9999X0
EXM_KM_5COb_9999_000209	장문위(張文緯)	_	G002+AKS-KHF_13C7A5BB38C704D1134X0
