munjip_id	문집	文集	성명	姓名	birthyear	deathyear	ancestralseat	choronym
ITKC_MI_0117A	사재집	思齋集	김정국	金正國	1485	1541	義城	義城 金
ITKC_MI_0118A	충암집	冲庵集	김정	金淨	1486	1521	慶州	慶州 金
ITKC_MI_0119A	양곡집	陽谷集	소세양	蘇世讓	1486	1562	晉州	晉州 蘇
ITKC_MI_0120A	송재집	松齋集	한충	韓忠	1486	1521	淸州	淸州 韓
ITKC_MI_0121A	규암집	圭菴集	송인수	宋麟壽	1499	1547	恩津	恩津 宋
ITKC_MI_0122A	어촌집	漁村集	심언광	沈彥光	1487	1540	三陟	三陟 沈
ITKC_MI_0123A	자암집	自菴集	김구	金絿	1488	1534	光州	光州 金
ITKC_MI_0124A	화담집	花潭集	서경덕	徐敬德	1489	1546	唐城	唐城 徐
ITKC_MI_0125A	회재집	晦齋集	이언적	李彥迪	1491	1553	驪州	驪州 李
ITKC_MI_0126A	호음잡고	湖陰雜稿	정사용	鄭士龍	1491	1570	東萊	東萊 鄭
ITKC_MI_0127A	덕양유고	德陽遺稿	기준	奇遵	1492	1521	幸州	幸州 奇
ITKC_MI_0128A	양심당집	養心堂集	조성	趙晟	1492	1555	平壤	平壤 趙
ITKC_MI_0129A	입암집	立巖集	민제인	閔齊仁	1493	1549	驪興	驪興 閔
ITKC_MI_0130A	범허정집	泛虛亭集	상진	尙震	1493	1564	木川	木川 尙
ITKC_MI_0131A	청송집	聽松集	성수침	成守琛	1493	1564	昌寧	昌寧 成
ITKC_MI_0132A	면앙집	俛仰集	송순	宋純	1493	1582	新平	新平 宋
ITKC_MI_0133A	잠암일고	潛庵逸稿	김의정	金義貞	1495	1547	豐山	豐山 金
ITKC_MI_0134A	무릉잡고	武陵雜稿	주세붕	周世鵬	1495	1554	尙州	尙州 周
ITKC_MI_0135A	온계일고	溫溪逸稿	이해	李瀣	1496	1550	眞寶	眞寶 李
ITKC_MI_0136A	석천시집	石川詩集	임억령	林億齡	1496	1568	善山	善山 林
ITKC_MI_0137A	대곡집	大谷集	성운	成運	1497	1579	昌寧	昌寧 成
ITKC_MI_0138A	송재유고	松齋遺稿	나세찬	羅世纘	1498	1551	羅州	羅州 羅
ITKC_MI_0139A	장음정유고	長吟亭遺稿	나식	羅湜	1498	1546	安定	安定 羅
ITKC_MI_0140A	용문집	龍門集	조욱	趙昱	1498	1557	平壤	平壤 趙
ITKC_MI_0141A	동고유고	東皐遺稿	이준경	李浚慶	1499	1572	廣州	廣州 李
ITKC_MI_0142A	일재집	一齋集	이항	李恒	1499	1576	星州	星州 李
ITKC_MI_0143A	갈천집	葛川集	임훈	林薰	1500	1584	恩津	恩津 林
ITKC_MI_0144A	퇴계집	退溪集	이황	李滉	1501	1570	眞寶	眞寶 李
ITKC_MI_0145A	남명집	南冥集	조식	曺植	1501	1572	昌寧	昌寧 曺
ITKC_MI_0146A	간재집	艮齋集	최연	崔演	1503	1549	江陵	江陵 崔
ITKC_MI_0147A	금호유고	錦湖遺稿	임형수	林亨秀	1514	1547	平澤	平澤 林
ITKC_MI_0148A	인재집	忍齋集	홍섬	洪暹	1504	1585	南陽	南陽 洪
ITKC_MI_0149A	추파집	秋坡集	송기수	宋麒壽	1507	1581	恩津	恩津 宋
ITKC_MI_0150A	십성당집	十省堂集	엄흔	嚴昕	1508	1543	寧越	寧越 嚴
ITKC_MI_0151A	하서전집	河西全集	김인후	金麟厚	1510	1560	蔚山	蔚山 金
ITKC_MI_0152A	우암유집	寓庵遺集	김주	金澍	1512	1563	安東	安東 金
ITKC_MI_0153A	부훤당유고	負暄堂遺稿	오상	吳祥	1512	1573	海州	海州 吳
ITKC_MI_0154A	구암집	龜巖集	이정	李楨	1512	1571	泗川	泗川 李
ITKC_MI_0155A	유헌집	游軒集	정황	丁熿	1512	1560	昌原	昌原 丁
ITKC_MI_0156A	수암유고	守庵遺稿	박지화	朴枝華	1513	1592	旌善	旌善 朴
ITKC_MI_0157A	미암집	眉巖集	유희춘	柳希春	1513	1577	善山	善山 柳
ITKC_MI_0158A	국간집	菊磵集	윤현	尹鉉	1514	1578	坡平	坡平 尹
ITKC_MI_0159A	소재집	穌齋集	노수신	盧守愼	1515	1590	光州	光州 盧
ITKC_MI_0160A	임당유고	林塘遺稿	정유길	鄭惟吉	1515	1588	東萊	東萊 鄭
ITKC_MI_0161A	치재유고	耻齋遺稿	홍인우	洪仁祐	1515	1554	南陽	南陽 洪
ITKC_MI_0162A	이암유고	頤庵遺稿	송인	宋寅	1517	1584	礪山	礪山 宋
ITKC_MI_0163A	청천당시집	聽天堂詩集	심수경	沈守慶	1516	1599	豐山	豐山 沈
ITKC_MI_0164A	소고집	嘯皐集	박승임	朴承任	1517	1586	潘南	潘南 朴
ITKC_MI_0165A	봉래시집	蓬萊詩集	양사언	楊士彥	1517	1584	淸州	淸州 楊
ITKC_MI_0166A	토정유고	土亭遺稿	이지함	李之菡	1517	1578	韓山	韓山 李
ITKC_MI_0167A	첨모당집	瞻慕堂集	임운	林芸	1517	1572	恩津	恩津 林
ITKC_MI_0168A	초당집	草堂集	허엽	許曄	1517	1580	陽川	陽川 許
ITKC_MI_0169A	금계집	錦溪集	황준량	黃俊良	1517	1563	平海	平海 黃
ITKC_MI_0170A	옥계집	玉溪集	노진	盧禛	1518	1578	豐川	豐川 盧
ITKC_MI_0171A	동원집	東園集	김귀영	金貴榮	1520	1594	尙州	尙州 金
ITKC_MI_0172A	송천유집	松川遺集	양응정	梁應鼎	1519	1581	濟州	濟州 梁
ITKC_MI_0173A	주천유고	舟川遺稿	강유선	康惟善	1520	1549	信川	信川 康
ITKC_MI_0174A	습재집	習齋集	권벽	權擘	1520	1593	安東	安東 權
ITKC_MI_0175A	덕계집	德溪集	오건	吳健	1521	1574	咸陽	咸陽 吳
ITKC_MI_0176A	개암집	介庵集	강익	姜翼	1523	1567	晉州	晉州 姜
ITKC_MI_0177A	고청유고	孤靑遺稾	서기	徐起	1523	1591	利川	利川 徐
ITKC_MI_0178A	사암집	思菴集	박순	朴淳	1523	1589	忠州	忠州 朴
ITKC_MI_0179A	월천집	月川集	조목	趙穆	1524	1606	橫城	橫城 趙
ITKC_MI_0180A	물암집	勿巖集	김륭	金隆	1549	1594	咸昌	咸昌 金
ITKC_MI_0181A	백담집	栢潭集	구봉령	具鳳齡	1526	1586	綾城	綾城 具
ITKC_MI_0182A	옥동집	玉洞集	문익성	文益成	1526	1584	南平	南平 文
ITKC_MI_0183A	죽천집	竹川集	박광전	朴光前	1526	1597	珍原	珍原 朴
ITKC_MI_0184A	약포집	藥圃集	정탁	鄭琢	1526	1605	淸州	淸州 鄭
ITKC_MI_0185A	고봉집	高峯集	기대승	奇大升	1527	1572	幸州	幸州 奇
ITKC_MI_0186A	우득록	愚得錄	정개청	鄭介淸	1529	1590	固城	固城 鄭
ITKC_MI_0187A	팔곡집	八谷集	구사맹	具思孟	1531	1604	綾城	綾城 具
ITKC_MI_0188A	설월당집	雪月堂集	김부윤	金富倫	1531	1598	光山	光山 金
ITKC_MI_0189A	송암집	松巖集	권호문	權好文	1532	1587	安東	安東 權
ITKC_MI_0190A	성암유고	省菴遺稿	김효원	金孝元	1542	1590	善山	善山 金
ITKC_MI_0191A	백록유고	白麓遺稿	신응시	辛應時	1532	1585	寧越	寧越 辛
ITKC_MI_0192A	지천집	芝川集	황정욱	黃廷彧	1532	1607	長水	長水 黃
ITKC_MI_0193A	오음유고	梧陰遺稿	윤두수	尹斗壽	1533	1601	海平	海平 尹
ITKC_MI_0194A	제봉집	霽峯集	고경명	高敬命	1533	1592	長興	長興 高
ITKC_MI_0195A	문봉집	文峯集	정유일	鄭惟一	1533	1576	東萊	東萊 鄭
ITKC_MI_0196A	초간집	草澗集	권문해	權文海	1534	1591	醴泉	醴泉 權
ITKC_MI_0197A	구봉집	龜峯集	송익필	宋翼弼	1534	1599	礪山	礪山 宋
ITKC_MI_0198A	우계집	牛溪集	성혼	成渾	1535	1598	昌寧	昌寧 成
ITKC_MI_0199A	내암집	來庵集	정인홍	鄭仁弘	1536	1623	瑞山	瑞山 鄭
ITKC_MI_0200A	청강집	淸江集	이제신	李濟臣	1536	1583	全義	全義 李
ITKC_MI_0201A	율곡전서	栗谷全書	이이	李珥	1536	1584	德水	德水 李
ITKC_MI_0202A	약포유고	藥圃遺稿	이해수	李海壽	1536	1599	全義	全義 李
ITKC_MI_0203A	송강집	松江集	정철	鄭澈	1536	1593	延日	延日 鄭
ITKC_MI_0204A	졸옹집	拙翁集	홍성민	洪聖民	1536	1594	南陽	南陽 洪
ITKC_MI_0205A	건재집	健齋集	김천일	金千鎰	1537	1593	彥陽	彥陽 金
ITKC_MI_0206A	옥봉집	玉峯集	백광훈	白光勳	1537	1582	海美	海美 白
ITKC_MI_0207A	월정집	月汀集	윤근수	尹根壽	1537	1616	海平	海平 尹
ITKC_MI_0208A	대소헌일고	大笑軒逸稿	조종도	趙宗道	1537	1597	咸安	咸安 趙
ITKC_MI_0209A	아계유고	鵝溪遺稿	이산해	李山海	1539	1609	韓山	韓山 李
ITKC_MI_0210A	학봉집	鶴峯集	김성일	金誠一	1538	1593	義城	義城 金
ITKC_MI_0211A	백곡집	栢谷集	정곤수	鄭崐壽	1538	1602	淸州	淸州 鄭
ITKC_MI_0212A	각재집	覺齋集	하항	河沆	1538	1590	晉州	晉州 河
ITKC_MI_0213A	겸암집	謙菴集	유운룡	柳雲龍	1539	1601	豐山	豐山 柳
ITKC_MI_0214A	파곡유고	坡谷遺稿	이성중	李誠中	1539	1593	全州	全州 李
ITKC_MI_0215A	간이집	簡易集	최립	崔岦	1539	1612	通川	通川 崔
ITKC_MI_0216A	고죽유고	孤竹遺稿	최경창	崔慶昌	1539	1583	海州	海州 崔
ITKC_MI_0217A	백암집	栢巖集	김륵	金玏	1540	1616	禮安	禮安 金
ITKC_MI_0218A	동강집	東岡集	김우옹	金宇顒	1540	1603	義城	義城 金
