id	title	name	birthyear	deathyear	choronym
ITKC_MI_0069A	매월당집(梅月堂集)	김시습(金時習)	1435년(세종 17)	1493년(성종 24)	강릉(江陵)
ITKC_MI_0070A	청파집(靑坡集)	이륙(李陸)	1438년(세종 20)	1498년(연산군 4)	고성(固城)
ITKC_MI_0071A	허백정집(虛白亭集)	홍귀달(洪貴達)	1438년(세종 20)	1504년(연산군 10)	부계(缶溪)
ITKC_MI_0072A	허백당집(虛白堂集)	성현(成俔)	1439년(세종 21)	1504년(연산군 10)	창녕(昌寧)
ITKC_MI_0073A	대봉집(大峯集)	양희지(楊熙止)	1439년(세종 21)	1504년(연산군 10)	중화(中和)
ITKC_MI_0074A	격재집(格齋集)	손조서(孫肇瑞)	미상	미상	일직(一直)
ITKC_MI_0075A	뇌계집(㵢谿集)	유호인(兪好仁)	1445년(세종 27)	1494년(성종 25)	고령(高靈)
ITKC_MI_0076A	안락당집(顔樂堂集)	김흔(金訢)	1448년(세종 30)	1492년(성종 23)	연안(延安)
ITKC_MI_0077A	연헌잡고(蓮軒雜稿)	이의무(李宜茂)	1449년(세종 31)	1507년(중종 2)	덕수(德水)
ITKC_MI_0078A	나재집(懶齋集)	채수(蔡壽)	1449년(세종 31)	1515년(중종 10)	인천(仁川)
ITKC_MI_0079A	남계집(藍溪集)	표연말(表沿沫)	1449년(세종 31)	1498년(연산군 4)	신창(新昌)
ITKC_MI_0080A	일두집(一蠧集)	정여창(鄭汝昌)	1450년(세종 32)	1504년(연산군 10)	하동(河東)
ITKC_MI_0081A	추강집(秋江集)	남효온(南孝溫)	1454년(단종 2)	1492년(성종 23)	의령(宜寧)
ITKC_MI_0082A	월헌집(月軒集)	정수강(丁壽崗)	1454년(단종 2)	1527년(중종 22)	압해(押海)
ITKC_MI_0083A	매계집(梅溪集)	조위(曺偉)	1454년(단종 2)	1503년(연산군 9)	창녕(昌寧)
ITKC_MI_0084A	금남집(錦南集)	최부(崔溥)	1454년(단종 2)	1504년(연산군 10)	탐진(耽津)
ITKC_MI_0085A	사우정집(四雨亭集)	이식(李湜)	1458년(세조 4)	1488년(성종 19)	전주(全州)
ITKC_MI_0086A	산당집(山堂集)	최충성(崔忠成)	1458년(세조 4)	1491년(성종 22)	전주(全州)
ITKC_MI_0087A	용재유고(慵齋遺稿)	이종준(李宗準)	미상	1499년(연산군 5)	경주(慶州)
ITKC_MI_0088A	재사당일집(再思堂逸集)	이원(李黿)	미상	1504년(연산군 10)	경주(慶州)
