source	target	relationship
pm000162	pm000181	HAS_SON_MGB
pm000164	pm000170	HAS_SON_MGB
pm000164	pm000171	HAS_SON_MGB
pm000165	pm000172	HAS_SON_MGB
pm000166	pm000173	HAS_SON_MGB
pm000166w	pm000166	HAS_SIL_MGB
pm000168	pm000177	HAS_SON_MGB
pm000173w	pm000173	HAS_SIL_MGB
pm000177w	pm000177	HAS_SIL_MGB
pm000179	pm000180	HAS_SON_MGB
pm000179w	pm000179	HAS_SIL_MGB
pm000180	pm000182	HAS_SON_MGB
pm000180	pm000183	HAS_SON_MGB
pm000180w	pm000180	HAS_SIL_MGB
pm000182	pm000186	HAS_SON_MGB
pm000182	pm000187	HAS_SON_MGB
pm000182w	pm000182	HAS_SIL_MGB
pm000183	pm000193	HAS_SON_MGB
pm000183	pm000194	HAS_SON_MGB
pm000186w	pm000186	HAS_SIL_MGB
pm000198	pm000200	HAS_SON_MGB
pm000198	pm000201	HAS_SON_MGB
pm000198w	pm000198	HAS_SIL_MGB
pm000199	pm000202	HAS_SON_MGB
pm000199w	pm000199	HAS_SIL_MGB
pm000200	pm000203	HAS_SIL_MGB
pm000200w	pm000200	HAS_SIL_MGB
pm000201	pm000204	HAS_SON_MGB
pm000201	pm000205	HAS_SON_MGB
pm000201	pm000206	HAS_SON_MGB
pm000202	pm000208	HAS_SON_MGB
pm000203w	pm000203	HAS_SIL_MGB
pm000204	pm000209	HAS_SON_MGB
pm000204	pm000210	HAS_SON_MGB
pm000208	pm000211	HAS_SON_MGB
pm000208	pm000233	HAS_SON_MGB
pm000208	pm000234	HAS_SON_MGB
pm000209	pm000212	HAS_SIL_MGB
pm000209	pm000213	HAS_SON_MGB
pm000209w	pm000209	HAS_SIL_MGB
pm000210	pm000217	HAS_SON_MGB
pm000211	pm000218	HAS_SON_MGB
pm000212w	pm000212	HAS_SIL_MGB
pm000217	pm000219	HAS_SON_MGB
pm000217	pm000220	HAS_SON_MGB
pm000217	pm000221	HAS_SON_MGB
pm000217	pm000222	HAS_SON_MGB
pm000221	pm000224	HAS_SON_MGB
pm000221w	pm000221	HAS_SIL_MGB
pm000224w	pm000224	HAS_SIL_MGB
pm000226	pm000227	HAS_SON_MGB
pm000226	pm000228	HAS_SON_MGB
pm000226	pm000272	HAS_SON_MGB
pm000226	pm000273	HAS_SON_MGB
pm000226	pm000274	HAS_SON_MGB
pm000226w1	pm000226	HAS_SIL_MGB
pm000226w2	pm000226	HAS_SIL_MGB
pm000227	pm000231	HAS_SON_MGB
pm000228	pm000232	HAS_SON_MGB
pm000228	pm000250	HAS_SON_MGB
pm000228	pm000251	HAS_SON_MGB
pm000228w	pm000228	HAS_SIL_MGB
pm000231	pm000235	HAS_SON_MGB
pm000232	pm000237	HAS_SON_MGB
pm000232	pm000252	HAS_SON_MGB
pm000232w	pm000232	HAS_SIL_MGB
pm000233	pm000238	HAS_SON_MGB
pm000233	pm000239	HAS_SON_MGB
pm000233	pm000240	HAS_SON_MGB
pm000233w1	pm000233	HAS_SIL_MGB
pm000233w2	pm000233	HAS_SIL_MGB
pm000234	pm000241	HAS_SON_MGB
pm000235	pm000243	HAS_SON_MGB
pm000235w	pm000235	HAS_SIL_MGB
pm000237	pm000244	HAS_SON_MGB
pm000237w	pm000237	HAS_SIL_MGB
pm000243	pm000245	HAS_SON_MGB
pm000243	pm000246	HAS_SON_MGB
pm000243w1	pm000243	HAS_SIL_MGB
pm000243w2	pm000243	HAS_SIL_MGB
pm000244w	pm000244	HAS_SIL_MGB
pm000246	pm000247	HAS_SON_MGB
pm000250	pm000253	HAS_SON_MGB
pm000251	pm000254	HAS_SON_MGB
pm000251	pm000255	HAS_SON_MGB
pm000252	pm000256	HAS_SON_MGB
pm000253	pm000257	HAS_SON_MGB
pm000254	pm000260	HAS_SON_MGB
pm000256	pm000263	HAS_SON_MGB
pm000256w	pm000256	HAS_SIL_MGB
pm000260	pm000264	HAS_SON_MGB
pm000263	pm000267	HAS_SON_MGB
pm000263w	pm000263	HAS_SIL_MGB
pm000267	pm000270	HAS_SON_MGB
pm000267	pm000271	HAS_SON_MGB
pm000272	pm000275	HAS_SON_MGB
pm000272	pm000276	HAS_SON_MGB
pm000273	pm000277	HAS_SON_MGB
pm000274	pm000278	HAS_SON_MGB
pm000274	pm000299	HAS_SON_MGB
pm000274	pm000300	HAS_SON_MGB
pm000275	pm000279	HAS_SON_MGB
pm000276	pm000280	HAS_SON_MGB
pm000276	pm000281	HAS_SON_MGB
pm000276	pm000282	HAS_SON_MGB
pm000277	pm000283	HAS_SON_MGB
pm000278	pm000284	HAS_SON_MGB
pm000278	pm000285	HAS_SON_MGB
pm000279	pm000286	HAS_SON_MGB
pm000280	pm000287	HAS_SIL_MGB
pm000280	pm000288	HAS_SON_MGB
pm000281	pm000289	HAS_SON_MGB
pm000282	pm000290	HAS_SON_MGB
pm000283	pm000297	HAS_SON_MGB
pm000283	pm000292	HAS_SON_MGB
pm000283w	pm000283	HAS_SIL_MGB
pm000284	pm000294	HAS_SON_MGB
pm000285	pm000340	HAS_SON_MGB
pm000285w	pm000285	HAS_SIL_MGB
pm000292w	pm000292	HAS_SIL_MGB
pm000297	pm000298	HAS_SON_MGB
pm000297	pm000341	HAS_SON_MGB
pm000297w	pm000297	HAS_SIL_MGB
pm000298	pm000301	HAS_SON_MGB
pm000300	pm000302	HAS_SON_MGB
pm000301	pm000303	HAS_SON_MGB
pm000302	pm000305	HAS_SON_MGB
pm000303	pm000306	HAS_SON_MGB
pm000303	pm000307	HAS_SON_MGB
pm000303	pm000308	HAS_SON_MGB
pm000303	pm000309	HAS_SON_MGB
pm000303	pm000352	HAS_SON_MGB
pm000306	pm000310	HAS_SON_MGB
pm000306	pm000311	HAS_SON_MGB
pm000307	pm000312	HAS_SON_MGB
pm000308	pm000313	HAS_SON_MGB
pm000309	pm000314	HAS_SON_MGB
pm000310	pm000315	HAS_SON_MGB
pm000310	pm000316	HAS_SON_MGB
pm000310w	pm000310	HAS_SIL_MGB
pm000311	pm000317	HAS_SON_MGB
pm000312	pm000318	HAS_SON_MGB
pm000312w	pm000312	HAS_SIL_MGB
pm000313	pm000319	HAS_SON_MGB
pm000314	pm000320	HAS_SON_MGB
pm000315	pm000321	HAS_SIL_MGB
pm000315w	pm000315	HAS_SIL_MGB
pm000316	pm000322	HAS_SON_MGB
pm000317	pm000323	HAS_SON_MGB
pm000317	pm000324	HAS_SON_MGB
pm000318	pm000325	HAS_SON_MGB
pm000319	pm000326	HAS_SON_MGB
pm000319	pm000327	HAS_SON_MGB
pm000320	pm000328	HAS_SON_MGB
pm000321w	pm000321	HAS_SIL_MGB
pm000322	pm000329	HAS_SON_MGB
pm000325	pm000330	HAS_SON_MGB
pm000326	pm000331	HAS_SON_MGB
pm000327	pm000332	HAS_SON_MGB
pm000328	pm000333	HAS_SON_MGB
pm000328	pm000334	HAS_SON_MGB
pm000328	pm000369	HAS_SON_MGB
pm000329	pm000335	HAS_SON_MGB
pm000329w	pm000329	HAS_SIL_MGB
pm000330	pm000336	HAS_SON_MGB
pm000330w	pm000330	HAS_SIL_MGB
pm000332	pm000337	HAS_SON_MGB
pm000333	pm000338	HAS_SON_MGB
pm000333w	pm000333	HAS_SIL_MGB
pm000334	pm000339	HAS_SON_MGB
pm000334w	pm000334	HAS_SIL_MGB
pm000336w	pm000336	HAS_SIL_MGB
pm000339w	pm000339	HAS_SIL_MGB
pm000340	pm000342	HAS_SON_MGB
pm000340	pm000382	HAS_SON_MGB
pm000340	pm000383	HAS_SON_MGB
pm000340w1	pm000340	HAS_SIL_MGB
pm000340w2	pm000340	HAS_SIL_MGB
pm000341	pm000343	HAS_SON_MGB
pm000342	pm000344	HAS_SON_MGB
pm000342	pm000384	HAS_SON_MGB
pm000343	pm000345	HAS_SON_MGB
pm000343	pm000346	HAS_SON_MGB
pm000344	pm000347	HAS_SON_MGB
pm000345	pm000353	HAS_SON_MGB
pm000346	pm000354	HAS_SON_MGB
pm000347	pm000355	HAS_SON_MGB
pm000353	pm000356	HAS_SIL_MGB
