source	target	relationship
pm077578	pm077581	HAS_SON_MGB
pm077571	pm077578	HAS_SON_MGB
pm029794	pm029796	HAS_SON_MGB
pm029790	pm029794	HAS_SON_MGB
pm029789	pm029790	HAS_SIL_MGB
pm029790w	pm029790	HAS_SIL_MGB
pm029794w	pm029794	HAS_SIL_MGB
pm073055	pm073059	HAS_SON_MGB
pm073050	pm073055	HAS_SON_MGB
pm073046	pm073050	HAS_SON_MGB
pm076710	pm076713	HAS_SON_MGB
pm076708	pm076710	HAS_SON_MGB
pm076704	pm076708	HAS_SON_MGB
pm029068w	pm029068	HAS_SIL_MGB
pm083656w	pm083656	HAS_SIL_MGB
pm025803	pm025806	HAS_SON_MGB
pm025802	pm025803	HAS_SON_MGB
pm025769	pm025802	HAS_SON_MGB
pm025802w	pm025802	HAS_SIL_MGB
pm025803w	pm025803	HAS_SIL_MGB
pm025803	pm025874	HAS_SON_MGB
pm025802	pm025803	HAS_SON_MGB
pm025769	pm025802	HAS_SON_MGB
pm025802w	pm025802	HAS_SIL_MGB
pm025803w	pm025803	HAS_SIL_MGB
pm025803	pm025891	HAS_SON_MGB
pm025802	pm025803	HAS_SON_MGB
pm025769	pm025802	HAS_SON_MGB
pm025802w	pm025802	HAS_SIL_MGB
pm025803w	pm025803	HAS_SIL_MGB
pm025803	pm025892	HAS_SON_MGB
pm025802	pm025803	HAS_SON_MGB
pm025769	pm025802	HAS_SON_MGB
pm025802w	pm025802	HAS_SIL_MGB
pm025803w	pm025803	HAS_SIL_MGB
pm033832	pm033838	HAS_SON_MGB
pm033825	pm033832	HAS_SON_MGB
pm033816	pm033825	HAS_SON_MGB
pm047571	pm047577	HAS_SON_MGB
pm047565	pm047571	HAS_SON_MGB
pm047562	pm047565	HAS_SIL_MGB
pm033769	pm033773	HAS_SON_MGB
pm033766	pm033769	HAS_SON_MGB
pm033763	pm033766	HAS_SON_MGB
pm025541	pm025548	HAS_SON_MGB
pm025534	pm025541	HAS_SON_MGB
pm025530	pm025534	HAS_SON_MGB
pm017136	pm017140	HAS_SON_MGB
pm017095	pm017136	HAS_SON_MGB
pm017088	pm017095	HAS_SON_MGB
pm017095w	pm017095	HAS_SIL_MGB
pm017136w	pm017136	HAS_SIL_MGB
pm017136	pm017141	HAS_SON_MGB
pm017095	pm017136	HAS_SON_MGB
